id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
10-9,Municipales,2020,2,2020-06-28,5,39,10,9,48,1619,625,625,8,6
10-10,Municipales,2020,2,2020-06-28,5,39,10,10,39,1392,584,584,9,9
10-11,Municipales,2020,2,2020-06-28,5,40,10,11,44,1563,608,608,9,8
10-12,Municipales,2020,2,2020-06-28,5,40,10,12,32,1560,566,566,7,6
10-13,Municipales,2020,2,2020-06-28,5,40,10,13,18,1616,523,523,12,4
10-14,Municipales,2020,2,2020-06-28,5,40,10,14,25,1640,608,608,9,3
10-15,Municipales,2020,2,2020-06-28,5,40,10,15,32,1385,543,543,6,3
10-16,Municipales,2020,2,2020-06-28,5,40,10,16,22,1418,513,513,16,1
10-17,Municipales,2020,2,2020-06-28,5,40,10,17,10,1332,398,398,12,4
10-18,Municipales,2020,2,2020-06-28,5,40,10,18,15,1437,491,491,14,18
10-19,Municipales,2020,2,2020-06-28,5,40,10,19,27,1214,435,435,14,4
10-20,Municipales,2020,2,2020-06-28,5,40,10,20,41,1342,523,523,13,6
10-21,Municipales,2020,2,2020-06-28,5,40,10,21,28,1357,433,433,9,3
10-22,Municipales,2020,2,2020-06-28,5,40,10,22,84,1396,543,544,12,4
10-23,Municipales,2020,2,2020-06-28,5,37,10,23,41,1249,506,506,12,3
10-24,Municipales,2020,2,2020-06-28,5,37,10,24,53,1272,478,478,11,5
10-25,Municipales,2020,2,2020-06-28,5,37,10,25,27,1365,568,569,11,5
10-26,Municipales,2020,2,2020-06-28,5,37,10,26,37,1263,524,524,6,3
10-27,Municipales,2020,2,2020-06-28,5,37,10,27,51,1520,529,529,7,5
10-28,Municipales,2020,2,2020-06-28,5,37,10,28,32,1401,554,554,13,9
10-29,Municipales,2020,2,2020-06-28,5,37,10,29,47,1399,548,548,9,2
10-30,Municipales,2020,2,2020-06-28,5,37,10,30,32,1421,556,556,10,5
10-31,Municipales,2020,2,2020-06-28,5,37,10,31,25,1226,474,474,8,8
10-32,Municipales,2020,2,2020-06-28,5,37,10,32,37,1317,514,514,12,6
10-33,Municipales,2020,2,2020-06-28,5,38,10,33,28,1442,502,502,8,4
10-34,Municipales,2020,2,2020-06-28,5,38,10,34,25,1462,565,565,13,1
10-35,Municipales,2020,2,2020-06-28,5,38,10,35,35,1382,550,550,9,4
10-36,Municipales,2020,2,2020-06-28,5,38,10,36,50,1409,573,573,16,5
10-37,Municipales,2020,2,2020-06-28,5,38,10,37,31,1325,500,500,6,6
10-38,Municipales,2020,2,2020-06-28,5,38,10,38,49,1562,646,646,8,6
10-39,Municipales,2020,2,2020-06-28,5,38,10,39,84,1655,623,623,9,1
4-1,Municipales,2020,2,2020-06-28,7,14,4,1,32,1268,504,503,6,6
4-2,Municipales,2020,2,2020-06-28,7,14,4,2,28,1141,516,516,15,2
4-3,Municipales,2020,2,2020-06-28,7,14,4,3,45,1412,587,587,9,7
4-4,Municipales,2020,2,2020-06-28,7,14,4,4,57,1311,581,581,9,9
4-5,Municipales,2020,2,2020-06-28,7,15,4,5,70,1411,623,623,10,3
4-6,Municipales,2020,2,2020-06-28,7,15,4,6,47,1735,747,747,12,7
4-7,Municipales,2020,2,2020-06-28,7,15,4,7,31,1355,539,539,5,4
4-8,Municipales,2020,2,2020-06-28,7,15,4,8,32,1569,619,619,6,3
4-9,Municipales,2020,2,2020-06-28,7,16,4,9,54,1055,497,498,17,2
4-10,Municipales,2020,2,2020-06-28,7,16,4,10,28,1035,446,447,13,1
4-11,Municipales,2020,2,2020-06-28,7,13,4,11,27,1032,431,431,6,1
4-12,Municipales,2020,2,2020-06-28,7,13,4,12,25,1211,533,532,6,9
4-13,Municipales,2020,2,2020-06-28,7,13,4,13,37,1602,677,677,9,5
4-14,Municipales,2020,2,2020-06-28,7,14,4,14,47,1251,532,534,9,1
5-1,Municipales,2020,2,2020-06-28,2,20,5,1,100,1443,636,636,9,7
5-2,Municipales,2020,2,2020-06-28,2,20,5,2,64,1612,715,715,5,11
5-3,Municipales,2020,2,2020-06-28,2,20,5,3,40,1605,674,673,7,7
5-4,Municipales,2020,2,2020-06-28,2,20,5,4,67,1443,629,629,12,5
5-5,Municipales,2020,2,2020-06-28,2,19,5,5,84,1580,729,729,14,5
5-6,Municipales,2020,2,2020-06-28,2,19,5,6,61,1345,639,639,15,3
5-7,Municipales,2020,2,2020-06-28,2,19,5,7,73,1562,734,734,13,7
5-8,Municipales,2020,2,2020-06-28,2,19,5,8,64,1673,793,793,10,6
5-9,Municipales,2020,2,2020-06-28,2,19,5,9,50,1587,787,787,15,2
5-10,Municipales,2020,2,2020-06-28,2,19,5,10,109,1529,713,713,19,7
5-11,Municipales,2020,2,2020-06-28,2,19,5,11,78,1560,673,673,11,5
5-12,Municipales,2020,2,2020-06-28,2,19,5,12,53,1516,668,668,15,9
5-13,Municipales,2020,2,2020-06-28,2,18,5,13,44,1278,542,542,7,8
5-14,Municipales,2020,2,2020-06-28,2,18,5,14,64,1355,627,627,4,7
5-15,Municipales,2020,2,2020-06-28,2,18,5,15,87,1473,638,639,9,14
5-16,Municipales,2020,2,2020-06-28,2,18,5,16,61,1497,664,664,14,5
5-17,Municipales,2020,2,2020-06-28,2,18,5,17,55,1463,622,622,18,6
5-18,Municipales,2020,2,2020-06-28,2,18,5,18,76,1444,646,647,20,16
5-19,Municipales,2020,2,2020-06-28,2,18,5,19,59,1382,651,651,16,11
5-20,Municipales,2020,2,2020-06-28,2,18,5,20,42,1495,664,666,13,7
5-21,Municipales,2020,2,2020-06-28,2,17,5,21,68,1524,677,677,9,4
5-22,Municipales,2020,2,2020-06-28,2,17,5,22,66,1419,628,628,16,8
5-23,Municipales,2020,2,2020-06-28,2,17,5,23,121,1481,643,643,22,8
5-24,Municipales,2020,2,2020-06-28,2,17,5,24,67,1464,663,663,8,4
5-25,Municipales,2020,2,2020-06-28,2,17,5,25,86,1627,716,716,7,5
11-1,Municipales,2020,2,2020-06-28,7,43,11,1,38,1742,656,656,12,9
11-2,Municipales,2020,2,2020-06-28,7,43,11,2,45,1620,680,680,20,5
11-3,Municipales,2020,2,2020-06-28,7,43,11,3,38,1482,556,556,11,11
11-4,Municipales,2020,2,2020-06-28,7,43,11,4,48,1718,667,667,11,7
11-5,Municipales,2020,2,2020-06-28,7,43,11,5,28,1716,625,625,7,5
11-6,Municipales,2020,2,2020-06-28,7,99,11,6,57,1626,642,642,11,7
11-7,Municipales,2020,2,2020-06-28,7,99,11,7,55,1525,604,604,11,6
11-8,Municipales,2020,2,2020-06-28,7,44,11,8,37,1515,601,601,6,3
11-9,Municipales,2020,2,2020-06-28,7,43,11,9,58,1619,652,652,13,3
11-10,Municipales,2020,2,2020-06-28,7,43,11,10,33,1603,628,628,14,7
11-11,Municipales,2020,2,2020-06-28,7,99,11,11,38,1819,684,683,12,8
11-12,Municipales,2020,2,2020-06-28,7,43,11,12,27,1643,654,654,10,5
11-13,Municipales,2020,2,2020-06-28,7,43,11,13,39,1667,643,643,16,3
11-14,Municipales,2020,2,2020-06-28,7,43,11,14,54,1804,756,756,23,13
11-15,Municipales,2020,2,2020-06-28,7,99,11,15,50,1704,759,760,14,4
11-16,Municipales,2020,2,2020-06-28,7,42,11,16,36,1520,653,653,12,5
11-17,Municipales,2020,2,2020-06-28,7,42,11,17,62,1498,627,627,7,7
11-18,Municipales,2020,2,2020-06-28,7,42,11,18,44,1499,578,578,9,2
11-19,Municipales,2020,2,2020-06-28,7,42,11,19,36,1484,551,551,11,5
11-20,Municipales,2020,2,2020-06-28,7,99,11,20,44,1647,642,644,6,8
11-21,Municipales,2020,2,2020-06-28,7,41,11,21,53,1543,633,633,20,2
11-22,Municipales,2020,2,2020-06-28,7,41,11,22,22,1702,657,657,4,6
11-23,Municipales,2020,2,2020-06-28,7,41,11,23,82,1654,616,616,6,6
11-24,Municipales,2020,2,2020-06-28,7,99,11,24,58,1737,663,663,14,4
11-25,Municipales,2020,2,2020-06-28,7,42,11,25,40,1732,693,693,16,8
11-26,Municipales,2020,2,2020-06-28,7,42,11,26,30,1742,684,684,11,5
11-27,Municipales,2020,2,2020-06-28,6,41,11,27,34,1684,711,710,9,4
11-28,Municipales,2020,2,2020-06-28,6,41,11,28,33,1699,666,664,10,2
11-29,Municipales,2020,2,2020-06-28,6,41,11,29,39,1755,602,602,11,7
11-30,Municipales,2020,2,2020-06-28,6,41,11,30,33,1845,629,629,16,8
11-31,Municipales,2020,2,2020-06-28,6,41,11,31,32,1839,544,544,9,8
11-32,Municipales,2020,2,2020-06-28,6,41,11,32,46,1922,611,611,6,4
11-33,Municipales,2020,2,2020-06-28,6,99,11,33,30,1809,692,691,13,11
11-34,Municipales,2020,2,2020-06-28,6,99,11,34,83,1725,552,553,11,11
11-35,Municipales,2020,2,2020-06-28,6,42,11,35,48,1683,656,656,9,0
11-36,Municipales,2020,2,2020-06-28,6,42,11,36,41,1706,640,640,6,3
11-37,Municipales,2020,2,2020-06-28,6,42,11,37,38,1623,627,629,6,3
11-38,Municipales,2020,2,2020-06-28,6,42,11,38,61,1694,662,662,6,7
11-39,Municipales,2020,2,2020-06-28,6,43,11,39,34,1427,529,529,10,10
11-40,Municipales,2020,2,2020-06-28,6,99,11,40,22,1495,570,571,19,6
11-41,Municipales,2020,2,2020-06-28,6,43,11,41,25,1736,599,599,14,6
11-42,Municipales,2020,2,2020-06-28,6,43,11,42,17,1544,485,486,13,4
11-43,Municipales,2020,2,2020-06-28,6,43,11,43,63,1749,671,671,18,8
11-44,Municipales,2020,2,2020-06-28,6,44,11,44,42,1709,676,676,12,1
11-45,Municipales,2020,2,2020-06-28,6,99,11,45,27,1569,641,641,8,8
11-46,Municipales,2020,2,2020-06-28,6,99,11,46,16,1814,610,611,19,6
11-47,Municipales,2020,2,2020-06-28,6,44,11,47,37,1784,660,660,11,9
11-48,Municipales,2020,2,2020-06-28,6,44,11,48,33,1731,758,758,9,7
11-49,Municipales,2020,2,2020-06-28,6,44,11,49,53,1755,689,689,15,12
11-50,Municipales,2020,2,2020-06-28,6,44,11,50,40,1710,751,751,17,9
11-51,Municipales,2020,2,2020-06-28,6,44,11,51,37,1699,671,671,7,6
11-52,Municipales,2020,2,2020-06-28,6,44,11,52,46,1762,660,660,16,9
11-53,Municipales,2020,2,2020-06-28,6,44,11,53,52,1705,722,722,6,6
11-54,Municipales,2020,2,2020-06-28,6,44,11,54,35,1621,604,604,16,6
11-55,Municipales,2020,2,2020-06-28,6,44,11,55,32,1681,663,662,9,10
15-1,Municipales,2020,2,2020-06-28,12,57,15,1,42,1213,471,471,7,0
15-2,Municipales,2020,2,2020-06-28,12,57,15,2,67,1409,611,612,6,3
15-3,Municipales,2020,2,2020-06-28,12,57,15,3,37,1332,517,516,8,3
15-4,Municipales,2020,2,2020-06-28,12,59,15,4,34,1629,603,603,10,4
15-5,Municipales,2020,2,2020-06-28,12,59,15,5,43,1639,556,556,8,3
15-6,Municipales,2020,2,2020-06-28,12,59,15,6,49,1603,601,601,8,5
15-7,Municipales,2020,2,2020-06-28,12,59,15,7,36,1560,565,565,5,4
15-8,Municipales,2020,2,2020-06-28,12,59,15,8,46,1401,657,656,6,5
15-9,Municipales,2020,2,2020-06-28,12,59,15,9,34,1492,596,595,7,10
15-10,Municipales,2020,2,2020-06-28,12,59,15,10,30,1514,528,528,10,4
15-11,Municipales,2020,2,2020-06-28,12,59,15,11,44,1587,628,628,9,7
15-12,Municipales,2020,2,2020-06-28,12,59,15,12,35,1722,705,705,6,5
15-13,Municipales,2020,2,2020-06-28,12,59,15,13,30,1639,661,661,2,6
15-14,Municipales,2020,2,2020-06-28,12,59,15,14,48,1696,703,703,7,3
15-15,Municipales,2020,2,2020-06-28,12,59,15,15,24,1559,578,578,11,7
15-16,Municipales,2020,2,2020-06-28,12,59,15,16,26,1692,740,740,8,8
15-17,Municipales,2020,2,2020-06-28,12,59,15,17,33,1552,551,551,5,4
15-18,Municipales,2020,2,2020-06-28,12,59,15,18,16,1396,549,549,4,6
15-19,Municipales,2020,2,2020-06-28,12,59,15,19,33,1401,605,605,8,7
15-20,Municipales,2020,2,2020-06-28,12,59,15,20,11,1499,608,608,3,8
15-21,Municipales,2020,2,2020-06-28,12,59,15,21,37,1361,580,580,5,2
15-22,Municipales,2020,2,2020-06-28,12,59,15,22,51,1450,574,574,6,2
15-23,Municipales,2020,2,2020-06-28,12,58,15,23,25,1521,674,674,10,9
15-24,Municipales,2020,2,2020-06-28,12,58,15,24,55,1556,602,602,9,3
15-25,Municipales,2020,2,2020-06-28,12,58,15,25,57,1580,688,688,5,2
15-26,Municipales,2020,2,2020-06-28,12,58,15,26,50,1570,601,601,8,4
15-27,Municipales,2020,2,2020-06-28,12,58,15,27,13,1463,500,500,10,9
15-28,Municipales,2020,2,2020-06-28,12,58,15,28,23,1498,590,590,9,6
15-29,Municipales,2020,2,2020-06-28,12,58,15,29,52,1510,663,662,6,7
15-30,Municipales,2020,2,2020-06-28,12,58,15,30,66,1531,655,655,6,7
